fold,model_name,alpha,train_size_full,train_size_fit,val_size,test_size,train_pos,train_neg,test_pos,test_neg,scale_pos_weight,train_end_timestamp,embargo_hours,test_start,test_end,fold_auc,fold_auprc,best_threshold_youdenJ,tpr_at_best_threshold,fpr_at_best_threshold,precision_at_best_threshold,lift_at_best_threshold,test_prevalence
1,lightgbm,0.1,25834,18084,7726,11397,860,24974,139,11258,28.120772946859905,2024-12-13 16:00:00+00:00,24,2024-12-14 17:00:00+00:00,2026-04-03 13:00:00+00:00,0.6854179473972785,0.039000688754778697,0.04224459404542323,0.5323741007194245,0.10632439154379109,0.058221872541306056,4.773774685994713,0.012196191980345704
2,lightgbm,0.1,26018,18213,7781,11397,860,25158,139,11258,28.32850241545894,2024-12-21 08:00:00+00:00,24,2024-12-22 09:00:00+00:00,2026-04-11 05:00:00+00:00,0.8816365276938158,0.058937142382355326,0.037297294182916135,0.9928057553956835,0.23814176585539173,0.04895352962043278,4.013837245209154,0.012196191980345704
3,lightgbm,0.1,26202,18342,7836,11397,866,25336,109,11288,28.536231884057973,2024-12-29 00:00:00+00:00,24,2024-12-30 01:00:00+00:00,2026-04-18 21:00:00+00:00,0.879651769517357,0.03896112446570637,0.031388487690720925,1.0,0.21217221828490432,0.043530351437699684,4.551517571884984,0.00956392032991138
4,lightgbm,0.1,26385,18470,7891,11397,956,25429,43,11354,28.74235104669887,2025-01-05 15:00:00+00:00,24,2025-01-06 16:00:00+00:00,2026-04-26 12:00:00+00:00,0.8898646517363002,0.03360652211842964,0.037837920247713916,0.9767441860465116,0.21181962304033822,0.0171638741315897,4.549224964598321,0.0037729226989558656
5,lightgbm,0.1,26569,18599,7946,11397,956,25613,43,11354,28.950080515297905,2025-01-13 07:00:00+00:00,24,2025-01-14 08:00:00+00:00,2026-05-04 04:00:00+00:00,0.7647504618800464,0.023457518551180483,0.040751082021942525,0.6976744186046512,0.08208560859608949,0.031185031185031187,8.26548373060001,0.0037729226989558656
